line,generation,cas9,degron,A,AB,B,WT,win,loss,total
2383,F1,vasa,TRUE,16,13,0,1,29,1,30
2383,F1,vasa,TRUE,2,4,0,0,6,0,6
1590,F0,zpg,FALSE,0,0,8,11,0,19,19
1590,F0,zpg,FALSE,38,57,5,0,95,5,100
1760E1B,F1,vasa,FALSE,2,0,1,1,2,2,4
1760E1B,F1,vasa,FALSE,3,3,3,2,6,5,11
2229,F1,zpg,TRUE,0,0,1,1,0,2,2
2229,F1,zpg,TRUE,5,1,0,0,6,0,6
2229,F1,zpg,TRUE,1,0,0,0,1,0,1
2383,F0,vasa,TRUE,28,23,0,0,51,0,51
2383,F0,vasa,TRUE,3,2,0,0,5,0,5
2383,F0,vasa,TRUE,0,1,0,0,1,0,1
2383,F1,vasa,TRUE,23,23,3,6,46,9,55
2383,F1,vasa,TRUE,0,4,0,0,4,0,4
1760E1B,F1,vasa,FALSE,1,0,0,1,1,1,2
1760E1B,F1,vasa,FALSE,5,11,2,0,16,2,18
2229,F1,zpg,TRUE,0,0,8,3,0,11,11
2229,F1,zpg,TRUE,31,24,0,0,55,0,55
2229,F1,zpg,TRUE,1,2,0,0,3,0,3
2383,F0,vasa,TRUE,6,6,0,0,12,0,12
2383,F0,vasa,TRUE,1,0,0,0,1,0,1
2383,F0,vasa,TRUE,0,1,0,0,1,0,1
2383,F1,vasa,TRUE,24,2,0,0,26,0,26
2383,F1,vasa,TRUE,1,5,0,0,6,0,6
1590,F0,zpg,FALSE,0,0,1,6,0,7,7
1590,F0,zpg,FALSE,25,19,1,0,44,1,45
1590,F1,zpg,FALSE,0,0,1,0,0,1,1
1590,F1,zpg,FALSE,6,6,2,5,12,7,19
1590,F1,zpg,FALSE,2,2,2,1,4,3,7
1760E1B,F1,vasa,FALSE,7,0,2,0,7,2,9
1760E1B,F1,vasa,FALSE,2,8,2,6,10,8,18
2229,F1,zpg,TRUE,0,0,3,4,0,7,7
2229,F1,zpg,TRUE,10,10,0,0,20,0,20
2229,F1,zpg,TRUE,0,1,0,0,1,0,1
2383,F0,vasa,TRUE,49,28,1,3,77,4,81
2383,F0,vasa,TRUE,0,1,0,0,1,0,1
2383,F1,vasa,TRUE,23,22,2,0,45,2,47
2383,F1,vasa,TRUE,0,1,0,0,1,0,1
1590,F0,zpg,FALSE,35,42,0,0,77,0,77
1760E1B,F1,vasa,FALSE,0,0,1,4,0,5,5
1760E1B,F1,vasa,FALSE,9,14,2,2,23,4,27
2229,F1,zpg,TRUE,0,0,2,6,0,8,8
2229,F1,zpg,TRUE,9,6,0,0,15,0,15
2229,F1,zpg,TRUE,1,0,0,0,1,0,1
2383,F0,vasa,TRUE,33,34,3,1,67,4,71
2383,F0,vasa,TRUE,7,11,0,0,18,0,18
2383,F1,vasa,TRUE,17,15,0,2,32,2,34
2383,F1,vasa,TRUE,2,1,0,0,3,0,3
2383,F1,vasa,TRUE,0,1,0,0,1,0,1
1590,F1,zpg,FALSE,0,0,3,3,0,6,6
1590,F1,zpg,FALSE,10,11,7,10,21,17,38
1590,F1,zpg,FALSE,11,0,2,0,11,2,13
1760E1B,F1,vasa,FALSE,0,0,8,5,0,13,13
1760E1B,F1,vasa,FALSE,5,8,4,7,13,11,24
2229,F1,zpg,TRUE,0,0,1,2,0,3,3
2229,F1,zpg,TRUE,14,26,0,0,40,0,40
2229,F1,zpg,TRUE,1,1,0,0,2,0,2
2383,F0,vasa,TRUE,20,28,0,3,48,3,51
2383,F0,vasa,TRUE,8,9,0,0,17,0,17
2383,F0,vasa,TRUE,0,1,0,0,1,0,1
2383,F1,vasa,TRUE,16,11,1,0,27,1,28
2383,F1,vasa,TRUE,2,2,0,0,4,0,4
1590,F0,zpg,FALSE,10,9,0,0,19,0,19
1760E1B,F1,vasa,FALSE,1,0,0,0,1,0,1
1760E1B,F1,vasa,FALSE,2,0,7,2,2,9,11
1760E1B,F1,vasa,FALSE,1,10,0,2,11,2,13
2229,F1,zpg,TRUE,0,0,3,1,0,4,4
2229,F1,zpg,TRUE,8,5,0,0,13,0,13
2383,F0,vasa,TRUE,9,23,1,3,32,4,36
2383,F0,vasa,TRUE,22,19,0,0,41,0,41
2383,F0,vasa,TRUE,2,2,0,0,4,0,4
2383,F1,vasa,TRUE,24,11,0,0,35,0,35
2383,F1,vasa,TRUE,2,0,0,0,2,0,2
1590,F0,zpg,FALSE,15,9,0,0,24,0,24
1590,F1,zpg,FALSE,0,0,0,1,0,1,1
1590,F1,zpg,FALSE,3,10,0,1,13,1,14
1590,F1,zpg,FALSE,1,5,0,1,6,1,7
1760E1B,F1,vasa,FALSE,10,10,0,3,20,3,23
1760E1B,F1,vasa,FALSE,26,22,0,1,48,1,49
2229,F1,zpg,TRUE,1,0,0,0,1,0,1
2383,F0,vasa,TRUE,5,17,1,1,22,2,24
2383,F0,vasa,TRUE,32,8,0,0,40,0,40
2383,F0,vasa,TRUE,1,0,0,0,1,0,1
2383,F1,vasa,TRUE,27,15,0,1,42,1,43
2383,F1,vasa,TRUE,1,0,0,0,1,0,1
1590,F0,zpg,FALSE,40,39,0,0,79,0,79
1590,F1,zpg,FALSE,7,6,0,0,13,0,13
1590,F1,zpg,FALSE,8,9,0,0,17,0,17
1760E1B,F1,vasa,FALSE,1,0,1,3,1,4,5
1760E1B,F1,vasa,FALSE,0,3,0,2,3,2,5
2229,F1,zpg,TRUE,0,0,2,7,0,9,9
2229,F1,zpg,TRUE,28,22,0,0,50,0,50
2229,F1,zpg,TRUE,1,1,0,0,2,0,2
2383,F0,vasa,TRUE,28,18,5,2,46,7,53
2383,F0,vasa,TRUE,2,5,0,0,7,0,7
2383,F0,vasa,TRUE,0,1,0,0,1,0,1
1760E1B,F1,vasa,FALSE,0,2,0,0,2,0,2
1760E1B,F1,vasa,FALSE,7,7,0,0,14,0,14
2229,F1,zpg,TRUE,0,0,3,2,0,5,5
2229,F1,zpg,TRUE,25,23,0,0,48,0,48
2229,F1,zpg,TRUE,4,0,0,0,4,0,4
2383,F0,vasa,TRUE,13,14,0,0,27,0,27
2383,F0,vasa,TRUE,4,2,0,0,6,0,6
1590,F0,zpg,FALSE,0,0,1,0,0,1,1
1590,F0,zpg,FALSE,22,30,3,2,52,5,57
1590,F1,zpg,FALSE,9,3,0,0,12,0,12
1590,F1,zpg,FALSE,7,9,0,0,16,0,16
1760E1B,F1,vasa,FALSE,0,0,0,1,0,1,1
1760E1B,F1,vasa,FALSE,3,3,2,4,6,6,12
2229,F1,zpg,TRUE,6,4,0,0,10,0,10
2229,F1,zpg,TRUE,0,1,0,0,1,0,1
1760E1B,F1,vasa,FALSE,20,22,0,0,42,0,42
2229,F1,zpg,TRUE,0,0,3,2,0,5,5
2229,F1,zpg,TRUE,1,6,0,0,7,0,7
1590,F0,zpg,FALSE,0,0,0,3,0,3,3
1590,F0,zpg,FALSE,10,16,1,0,26,1,27
1590,F1,zpg,FALSE,0,1,4,6,1,10,11
1590,F1,zpg,FALSE,14,19,9,5,33,14,47
1590,F1,zpg,FALSE,9,9,3,5,18,8,26
1760E1B,F1,vasa,FALSE,9,1,0,0,10,0,10
1760E1B,F1,vasa,FALSE,4,15,0,0,19,0,19
2229,F1,zpg,TRUE,0,0,11,5,0,16,16
2229,F1,zpg,TRUE,21,19,0,0,40,0,40
2229,F1,zpg,TRUE,2,1,0,0,3,0,3
1760E1B,F1,vasa,FALSE,0,0,2,2,0,4,4
1760E1B,F1,vasa,FALSE,3,2,0,7,5,7,12
2229,F1,zpg,TRUE,0,0,6,2,0,8,8
2229,F1,zpg,TRUE,23,22,0,0,45,0,45
2229,F1,zpg,TRUE,0,6,0,0,6,0,6
1760E1B,F1,vasa,FALSE,6,5,0,0,11,0,11
1760E1B,F1,vasa,FALSE,2,0,6,1,2,7,9
1760E1B,F1,vasa,FALSE,3,2,0,0,5,0,5
1760E1B,F1,vasa,FALSE,0,1,0,0,1,0,1
1760E1B,F1,vasa,FALSE,0,0,1,0,0,1,1
1760E1B,F1,vasa,FALSE,3,3,1,2,6,3,9
1760E1B,F1,vasa,FALSE,1,0,1,4,1,5,6
1760E1B,F1,vasa,FALSE,4,2,2,1,6,3,9
1760E1B,F1,vasa,FALSE,7,0,5,3,7,8,15
1760E1B,F1,vasa,FALSE,1,8,4,3,9,7,16
1760E1B,F1,vasa,FALSE,3,0,0,0,3,0,3
1760E1B,F1,vasa,FALSE,29,27,0,0,56,0,56
1760E1B,F1,vasa,FALSE,9,0,2,2,9,4,13
1760E1B,F1,vasa,FALSE,3,10,7,2,13,9,22
